"Prefixed_Name","Full_Name","First_Name","Surname","Position","Start_Date","End_Date","Image_URL","Image_Path"
"Mr. รายนาม","รายนาม","รายนาม","","ตำแหน่ง","","","",""
"Mr. พงศ์พิเชษฐ์ นานานุกูล","นายพงศ์พิเชษฐ์ นานานุกูล","พงศ์พิเชษฐ์","นานานุกูล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สุรเดช เกียรติธนากร","นายสุรเดช เกียรติธนากร","สุรเดช","เกียรติธนากร","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. พจนารถ แสงพฤกษ์","นายพจนารถ แสงพฤกษ์","พจนารถ","แสงพฤกษ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Dr. วิชัย ณรงค์วณิชย์","ดร. วิชัย ณรงค์วณิชย์","วิชัย","ณรงค์วณิชย์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. กิติยา ฤกษ์ภูริทัต","นางกิติยา ฤกษ์ภูริทัต","กิติยา","ฤกษ์ภูริทัต","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. วรวิทย์ เกียรติทวีอนันต์","นายวรวิทย์ เกียรติทวีอนันต์","วรวิทย์","เกียรติทวีอนันต์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาววาสนา สุระกิจ","นางสาววาสนา สุระกิจ","สาววาสนา","สุระกิจ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. กิตติพงศ์ คุ้มมั่น","นายกิตติพงศ์ คุ้มมั่น","กิตติพงศ์","คุ้มมั่น","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวมณฑา วรประสิทธิ์","นางสาวมณฑา วรประสิทธิ์","สาวมณฑา","วรประสิทธิ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวสวคนธ์ เมฆาสวัสดิ์","นางสาวสวคนธ์ เมฆาสวัสดิ์","สาวสวคนธ์","เมฆาสวัสดิ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ธนพงษ์ ณ ระนอง","นายธนพงษ์ ณ ระนอง","ธนพงษ์","ณ ระนอง","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ปรัชญา เกิดแก้วฟ้า","นายปรัชญา เกิดแก้วฟ้า","ปรัชญา","เกิดแก้วฟ้า","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. เมธี พรรณเชษฐ์","นายเมธี พรรณเชษฐ์","เมธี","พรรณเชษฐ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวจริภรณ์ กิจเจริญไพศาล","นางสาวจริภรณ์ กิจเจริญไพศาล","สาวจริภรณ์","กิจเจริญไพศาล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวจิตราวิณี วรรณกร","นางสาวจิตราวิณี วรรณกร","สาวจิตราวิณี","วรรณกร","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ณพวิทย์ โทเทอดวิไล","นายณพวิทย์ โทเทอดวิไล","ณพวิทย์","โทเทอดวิไล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวณัชชา อากาศฤกษ์","นางสาวณัชชา อากาศฤกษ์","สาวณัชชา","อากาศฤกษ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. นลินรัตน์ ทรรทรานนท์","นางนลินรัตน์ ทรรทรานนท์","นลินรัตน์","ทรรทรานนท์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ปัญญา คงคาไพศาล","นายปัญญา คงคาไพศาล","ปัญญา","คงคาไพศาล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ไพศาล วรเศรษฐ์ศิริ","นายไพศาล วรเศรษฐ์ศิริ","ไพศาล","วรเศรษฐ์ศิริ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Dr. สรรเพชญ สุขเพสน์","ดร. สรรเพชญ สุขเพสน์","สรรเพชญ","สุขเพสน์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สุนันท์ ศิริอักษร","นางสุนันท์ ศิริอักษร","สุนันท์","ศิริอักษร","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สุรพงษ์ ศิวาลัย","นายสุรพงษ์ ศิวาลัย","สุรพงษ์","ศิวาลัย","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Dr. อนุวรรตน์ ศรีอุดม","ดร.อนุวรรตน์ ศรีอุดม","อนุวรรตน์","ศรีอุดม","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. วรวุฒิ เวสารัชกิจ","นายวรวุฒิ เวสารัชกิจ","วรวุฒิ","เวสารัชกิจ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สรุจ วนรัตน์ศิริกุล","นายสรุจ วนรัตน์ศิริกุล","สรุจ","วนรัตน์ศิริกุล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ชัยยศ ตันพิสุทธิ์","นายชัยยศ ตันพิสุทธิ์","ชัยยศ","ตันพิสุทธิ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. อุษา เกาศล","นางอุษา เกาศล","อุษา","เกาศล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สิทธิโชค เตชพาหพงษ์","นายสิทธิโชค เตชพาหพงษ์","สิทธิโชค","เตชพาหพงษ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. รักษภาส วิชินโรจน์จรัล","นายรักษภาส วิชินโรจน์จรัล","รักษภาส","วิชินโรจน์จรัล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาธินี ศรีรัตนพงษ์","นางสาธินี ศรีรัตนพงษ์","สาธินี","ศรีรัตนพงษ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวชนกสุดา ชิตรัตน์","นางสาวชนกสุดา ชิตรัตน์","สาวชนกสุดา","ชิตรัตน์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวชุติมา กิตติบัณฑูร","นางสาวชุติมา กิตติบัณฑูร","สาวชุติมา","กิตติบัณฑูร","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวนันทิกา ศันสนียเกียรติ","นางสาวนันทิกา ศันสนียเกียรติ","สาวนันทิกา","ศันสนียเกียรติ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวบุญวรงค์ บุณยไวโรจน์","นางสาวบุญวรงค์ บุณยไวโรจน์","สาวบุญวรงค์","บุณยไวโรจน์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. วราลักษณ์ อภิกุลวณิช","นางวราลักษณ์ อภิกุลวณิช","วราลักษณ์","อภิกุลวณิช","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สรศักดิ์ พึ่งรัตน์","นายสรศักดิ์ พึ่งรัตน์","สรศักดิ์","พึ่งรัตน์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สิริพัฒน์ อรรฆย์ศุภกุล","นายสิริพัฒน์ อรรฆย์ศุภกุล","สิริพัฒน์","อรรฆย์ศุภกุล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวอรธิดา บุญเปี่ยมศักดิ์","นางสาวอรธิดา บุญเปี่ยมศักดิ์","สาวอรธิดา","บุญเปี่ยมศักดิ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวอาภรณ์ ศิริศรีสกุลชัย","นางสาวอาภรณ์ ศิริศรีสกุลชัย","สาวอาภรณ์","ศิริศรีสกุลชัย","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวศิริพร เริงจิตต์","นางสาวศิริพร เริงจิตต์","สาวศิริพร","เริงจิตต์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. กุลวัชร์ พุ่มเทียน","นายกุลวัชร์ พุ่มเทียน","กุลวัชร์","พุ่มเทียน","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. จักรพงศ์ โอแสงธรรมนนท์","นายจักรพงศ์ โอแสงธรรมนนท์","จักรพงศ์","โอแสงธรรมนนท์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. รวินท์ เบญจตันติกุล","นายรวินท์ เบญจตันติกุล","รวินท์","เบญจตันติกุล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. รุ่งสกุล เรืองไทย","นายรุ่งสกุล เรืองไทย","รุ่งสกุล","เรืองไทย","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Dr. วราธัช ตันติวรวงศ์","ดร.วราธัช ตันติวรวงศ์","วราธัช","ตันติวรวงศ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ศิริวัฒน์ วิศลดิลกพันธ์","นายศิริวัฒน์ วิศลดิลกพันธ์","ศิริวัฒน์","วิศลดิลกพันธ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สมพร วงศ์ประคอง","นายสมพร วงศ์ประคอง","สมพร","วงศ์ประคอง","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สิริพล จิตรจง","นายสิริพล จิตรจง","สิริพล","จิตรจง","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. กำพล สุทธิพิเชษฐ์","นายกำพล สุทธิพิเชษฐ์","กำพล","สุทธิพิเชษฐ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ธีระเดช ตันไพบูลย์","นายธีระเดช ตันไพบูลย์","ธีระเดช","ตันไพบูลย์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. บวร ศรีสง่าตระกูล","นายบวร ศรีสง่าตระกูล","บวร","ศรีสง่าตระกูล","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. บุญเติบ จีรภัทร์","นายบุญเติบ จีรภัทร์","บุญเติบ","จีรภัทร์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. พิภาพัณณ์ อรรถวานิช","นางพิภาพัณณ์ อรรถวานิช","พิภาพัณณ์","อรรถวานิช","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. ภัทราภา หงษ์คำดี","นางภัทราภา หงษ์คำดี","ภัทราภา","หงษ์คำดี","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ภาสกร อรพนิชอารี","นายภาสกร อรพนิชอารี","ภาสกร","อรพนิชอารี","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวร่มฉัตร ทรงศิริ","นางสาวร่มฉัตร ทรงศิริ","สาวร่มฉัตร","ทรงศิริ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. วีระพล บดีรัฐ","นายวีระพล บดีรัฐ","วีระพล","บดีรัฐ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. สุขสันต์ วัฒนายากร","นายสุขสันต์ วัฒนายากร","สุขสันต์","วัฒนายากร","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Dr. ดลินี ศาสตระรุจิ","ดร.ดลินี ศาสตระรุจิ","ดลินี","ศาสตระรุจิ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Dr. บุริศวร์ กิตติรังสิ","ดร.บุริศวร์ กิตติรังสิ","บุริศวร์","กิตติรังสิ","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวพัชรี จำนง","นางสาวพัชรี จำนง","สาวพัชรี","จำนง","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. อรรถสิทธิ์ เอื้ออารักษ์","นายอรรถสิทธิ์ เอื้ออารักษ์","อรรถสิทธิ์","เอื้ออารักษ์","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. อุดร อุปเส็น","นายอุดร อุปเส็น","อุดร","อุปเส็น","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mrs. สาวชิพาภัสร์ ศรีนครไทย","นางสาวชิพาภัสร์ ศรีนครไทย","สาวชิพาภัสร์","ศรีนครไทย","ผู้ช่วยผู้จัดการใหญ่","","","",""
"Mr. ​นายปิยะพงศ์ แสงภัทราชัย","​นายปิยะพงศ์ แสงภัทราชัย","​นายปิยะพงศ์","แสงภัทราชัย","ผู้บริหารกลุ่มธุรกิจผลิตภัณฑ์ตลาดทุน","","","",""
"Mr. พงศกร ล่ำซำ","นายพงศกร ล่ำซำ","พงศกร","ล่ำซำ","Private Banking Business Head","","","",""
"Dr. ตรีพล ภูมิวสนะ","ดร. ตรีพล ภูมิวสนะ","ตรีพล","ภูมิวสนะ","Private Banking Business Head","","","",""
"Mrs. สาวศิริพร สุวรรณการ","นางสาวศิริพร สุวรรณการ","สาวศิริพร","สุวรรณการ","Financial Advisory Head","","","",""
"Mr. พีระพัฒน์ เหรียญประยูร","นายพีระพัฒน์ เหรียญประยูร","พีระพัฒน์","เหรียญประยูร","Wealth Planning and Non Capital Maket Head","","","",""
"Mrs. สาวสุใจ หาญเชาว์วงศ์","นางสาวสุใจ หาญเชาว์วงศ์","สาวสุใจ","หาญเชาว์วงศ์","Business Strategy and Marketing Head","","","",""
"Mrs. สาวพรวิภา ตั้งตรงจิตร","นางสาวพรวิภา ตั้งตรงจิตร","สาวพรวิภา","ตั้งตรงจิตร","ผู้บริหารกลุ่มธุรกิจวาณิชธนกิจ","","","",""
"Mr. สาวิตร ศรีศรันยพงศ์","นายสาวิตร ศรีศรันยพงศ์","สาวิตร","ศรีศรันยพงศ์","ผู้บริหารกลุ่มธุรกิจวาณิชธนกิจ","","","",""
